% ARFF file produced for W4705 HW2 assignment
% Generated: 2007-10-25 05:12:49.968750

@RELATION       source_type

@ATTRIBUTE      text_length     numeric
@ATTRIBUTE      asciihigh_cnt   numeric
@ATTRIBUTE      caps_cnt        numeric
@ATTRIBUTE      BN1_cnt         numeric
@ATTRIBUTE      NWIRE1_cnt      numeric
@ATTRIBUTE      BN2_cnt         numeric
@ATTRIBUTE      NWIRE2_cnt      numeric
@ATTRIBUTE      BN3_cnt         numeric
@ATTRIBUTE      NWIRE3_cnt      numeric
@ATTRIBUTE      class           {BN, NWIRE}


@DATA
2103, 0, 0, 118, 20, 1, 1, 0, 0, NWIRE
4495, 0, 0, 292, 62, 3, 11, 0, 1, NWIRE
2264, 0, 0, 138, 30, 2, 3, 0, 1, NWIRE
1630, 0, 0, 85, 16, 0, 2, 0, 0, NWIRE
1260, 0, 0, 73, 11, 1, 1, 0, 3, NWIRE
3233, 0, 0, 206, 38, 0, 6, 0, 1, NWIRE
1856, 0, 0, 127, 24, 0, 1, 0, 3, NWIRE
9554, 0, 0, 621, 111, 1, 8, 0, 3, NWIRE
10033, 0, 0, 613, 110, 5, 7, 0, 4, NWIRE
2021, 0, 0, 122, 19, 3, 3, 0, 0, NWIRE
1128, 0, 0, 81, 17, 0, 0, 0, 1, NWIRE
236, 0, 0, 25, 3, 0, 0, 0, 0, NWIRE
3608, 0, 0, 253, 43, 4, 3, 0, 0, NWIRE
2331, 0, 0, 121, 31, 3, 1, 0, 0, NWIRE
10746, 0, 0, 719, 117, 2, 20, 0, 2, NWIRE
6886, 0, 0, 428, 71, 3, 12, 0, 4, NWIRE
9862, 0, 0, 547, 107, 2, 6, 0, 3, NWIRE
17748, 0, 0, 983, 208, 5, 31, 0, 13, NWIRE
8403, 0, 0, 562, 99, 0, 8, 0, 3, NWIRE
10568, 0, 0, 719, 149, 1, 11, 1, 2, NWIRE
5896, 0, 0, 350, 71, 3, 4, 0, 4, NWIRE
1857, 0, 0, 127, 25, 0, 1, 0, 0, NWIRE
5533, 0, 0, 330, 68, 3, 11, 0, 4, NWIRE
1632, 4, 21, 103, 14, 0, 0, 0, 0, NWIRE
2216, 24, 35, 91, 17, 0, 1, 0, 0, NWIRE
2006, 28, 47, 75, 22, 0, 0, 0, 0, NWIRE
2453, 32, 30, 144, 26, 0, 0, 0, 0, NWIRE
4129, 28, 58, 165, 44, 0, 0, 0, 0, NWIRE
5445, 62, 71, 268, 44, 0, 0, 0, 0, NWIRE
757, 6, 13, 31, 7, 0, 0, 0, 0, NWIRE
727, 12, 22, 30, 3, 0, 0, 0, 0, NWIRE
1999, 20, 40, 106, 19, 0, 2, 0, 0, NWIRE
1318, 76, 52, 63, 14, 0, 0, 0, 0, NWIRE
1718, 142, 70, 47, 7, 0, 0, 0, 0, NWIRE
4532, 56, 77, 216, 40, 0, 1, 0, 0, NWIRE
2192, 20, 40, 83, 21, 0, 0, 0, 0, NWIRE
1739, 38, 26, 81, 16, 0, 0, 0, 0, NWIRE
3423, 22, 69, 128, 31, 0, 0, 0, 0, NWIRE
2061, 6, 54, 100, 13, 0, 2, 0, 0, NWIRE
1986, 20, 55, 62, 24, 0, 1, 0, 0, NWIRE
745, 56, 15, 21, 9, 0, 0, 0, 0, NWIRE
